,borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,website,borocd,councildist,latitude,longitude,precinct,object_id,location_point,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,notes,ct2010,bbl,bin
10,Bronx,Fordham Heights,SE Corner of Field Place & Morris Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,,,46,3741,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
11,Queens,Queensbridge-Ravenswood-Dutch Kills,Commuter Composting at 21 St-Queensbridge F,NW Corner of 21st street at 41st Ave,NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  10:00 AM),,401,26,40.7536858,-73.9422838,114,3363,"{'type': 'Point', 'coordinates': [-73.9422838, 40.7536858]}",3.0,33.0,72.0,16858.0,39.0,"Not accepted: meat, bones, or dairy",,,
12,Brooklyn,Crown Heights (North),Walt L Shamel Community Garden,"1097 Dean St, Brooklyn, NY 11216",Volunteers at Walt L Shamel Community Garden,End of March - January 30,Saturdays and Sundays (Start Time: 12:00 PM - End Time:  2:00 PM),https://www.facebook.com/WaltLShamelCommunityGarden/,308,35,40.67744,-73.953657,77,3495,"{'type': 'Point', 'coordinates': [-73.953657, 40.67744]}",2.0,48.0,49.0,17618.0,16.0,"Not accepted: meat, bones, or dairy",,,
13,Brooklyn,Prospect Heights,Underhill Avenue & Park Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3509,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
14,Manhattan,Morningside Heights,SW Corner of West 114th Street & Amsterdam Avenue,S/W West 114th Street & Amsterdam Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,40.80545915,-73.96220095,26,3593,"{'type': 'Point', 'coordinates': [-73.96220095, 40.80545915]}",4.0,23.0,17.0,12422.0,37.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
15,Queens,Astoria (Central),SW Corner of 33rd Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3324,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
16,Queens,Long Island City-Hunters Point,The Connected Chef,49-09 5th Street and 49th Avenue,The Connected Chef,Year Round,Fridays and Saturdays (Start Time: Fridays-8:30AM/Saturdays-9AM - End Time:  Fridays-3:30PM/Saturdays-2PM),,402,26,40.74387,-73.9562,108,3374,"{'type': 'Point', 'coordinates': [-73.9562, 40.74387]}",3.0,33.0,66.0,16858.0,53.0,"Not accepted: meat, bones, or dairy",,,
17,Brooklyn,Sunset Park (West),Los Colibríes Community Garden,"219 34th Street, Brooklyn 11232",Los Colibríes Community Garden,Year Round,Sundays (Start Time: 11:00 AM - End Time:  4:00 PM),https://www.facebook.com/jardin34/,307,38,40.6547305,-74.0018481,72,3608,"{'type': 'Point', 'coordinates': [-74.0018481, 40.6547305]}",2.0,7.0,45.0,13515.0,9.0,"Not accepted: meat, bones, or dairy",,,
18,Manhattan,Lower East Side,Grand Street & Clinton Street,Grand Street & Clinton Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Mondays (Start Time: 9:00 AM - End Time:  2:00 PM),https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,1,40.715889,-73.986861,7,3287,"{'type': 'Point', 'coordinates': [-73.986861, 40.715889]}",4.0,32.0,4.0,11723.0,70.0,"Not accepted: meat, bones, or dairy",,,
19,Bronx,Tremont,La Familia Verde Farmer's Market,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),Volunteers at La Familia Verde Farmers Market,July- November 16 2021,Tuesdays (Start Time: 8:00 AM - End Time:  2:00 PM),http://www.lafamiliaverde.org/,206,15,40.846468,-73.894107,48,3754,"{'type': 'Point', 'coordinates': [-73.894107, 40.846468]}",5.0,22.0,31.0,10935.0,35.0,"Visit the Center Farm stand to drop off your food scraps. Not accepted: meat, bones, or dairy",,,
20,Queens,Queensbridge-Ravenswood-Dutch Kills,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106",Socrates Sculpture Park,Year Round,Every day (Start Time: 9:00 AM - End Time:  Dusk),socratessculpturepark.org,401,22,40.768389,-73.937,114,3361,"{'type': 'Point', 'coordinates': [-73.937, 40.768389]}",3.0,33.0,72.0,16863.0,39.0,"Not accepted: meat, bones, or dairy",,,
21,Brooklyn,Crown Heights (North),NE Corner of Kingston Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,36,,,77,3490,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
22,Manhattan,East Harlem (North),SW Corner of East 118th Street & 1 Avenue,SW East 118th Street & 1 Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,40.797433,-73.93471364,25,3434,"{'type': 'Point', 'coordinates': [-73.93471364, 40.797433]}",4.0,35.0,16.0,13093.0,7.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
23,Queens,Ridgewood,NW Corner of St . Nicholas Avenue & Menahan Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,405,34,,,104,3672,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
24,Queens,Astoria (Central),SE Corner of Crescent St & 30th Dr,Crescent St & 30th Dr SE,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76656937,-73.92594543,114,3319,"{'type': 'Point', 'coordinates': [-73.92594543, 40.76656937]}",3.0,4.0,72.0,16859.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
25,Brooklyn,East New York-New Lots,East New York Farms: UCC Youth Farm,613 New Lots Avenue,East New York Farms,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),https://ucceny.org/enyf/,305,42,40.66547,-73.88668,75,3727,"{'type': 'Point', 'coordinates': [-73.88668, 40.66547]}",2.0,25.0,47.0,17214.0,45.0,"Not accepted: meat, bones, or dairy",1124.0,3040890025.0,3090717.0
26,Brooklyn,East Williamsburg,Sure We Can,"219 McKibben Street, Brooklyn, NY 11206",Sure We Can,Year Round,Monday-Saturday (Start Time: 7:00 AM - End Time:  Monday-Friday at 5:00PM; Saturday at 1:00PM),http://www.surewecan.org/composting,301,34,40.705441,-73.93882,90,3625,"{'type': 'Point', 'coordinates': [-73.93882, 40.705441]}",2.0,30.0,56.0,17213.0,36.0,"Not accepted: meat, bones, or dairy",,,
27,Manhattan,Washington Heights (North),NE Corner of Wadsworth Avenue & W 182 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,34,3566,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
28,Manhattan,West Village,Hudson River Park's Pier 51 at Horatio St.,Pier 51 at Horatio St. near playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,40.738228,-74.0104549,6,3534,"{'type': 'Point', 'coordinates': [-74.0104549, 40.738228]}",4.0,10.0,3.0,12077.0,57.0,"Not accepted: meat, bones, or dairy",,,
29,Staten Island,Port Richmond,*CLOSED FOR THE SEASON* West Brighton,Chappell Street and Henderson Avenue,Snug Harbor Youth,Year Round,Fridays (Start Time: 4:00 PM - End Time:  5:30 PM),snug-harbor.org,501,49,40.636758,-74.119727,120,3837,"{'type': 'Point', 'coordinates': [-74.119727, 40.636758]}",1.0,13.0,74.0,10697.0,4.0,"Not accepted: meat, bones, or dairy",13301.0,,
30,Manhattan,Hamilton Heights-Sugar Hill,SW Corner of West 138th Street & Broadway,S/W West 138th Street & Broadway,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,40.82096078,-73.95101175,30,3393,"{'type': 'Point', 'coordinates': [-73.95101175, 40.82096078]}",4.0,23.0,19.0,12428.0,37.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
31,Brooklyn,Flatbush,Flatbush Junction Food Scrap Drop-off,Hillel Pl & Flatbush Ave,GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  2:30 PM),grownyc.org/compost,314,45,40.632583,-73.948111,70,3722,"{'type': 'Point', 'coordinates': [-73.948111, 40.632583]}",2.0,26.0,43.0,17217.0,60.0,"Not accepted: meat, bones, or dairy",,,
32,Manhattan,Morningside Heights,SE Corner of Amsterdam Avenue & W 113 Street,SE Amsterdam Avenue & W 113 Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,40.80473262,-73.96234996,26,3595,"{'type': 'Point', 'coordinates': [-73.96234996, 40.80473262]}",4.0,23.0,17.0,12422.0,37.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
33,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,41,,,81,3463,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
34,Manhattan,Harlem (North),Abyssinian Tot Lot,"130 W 139th St, New York, NY 10030",GrowNYC and the Malcolm X Boulevard Beautification Group,Year Round,Saturday (Start Time: 8:00 AM - End Time:  12:30 PM),grownyc.org/compost,110,9,40.8172313,-73.9408451,32,3402,"{'type': 'Point', 'coordinates': [-73.9408451, 40.8172313]}",4.0,36.0,20.0,12427.0,18.0,,,,
35,Queens,Astoria (Central),31-28 Crescent Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3331,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
36,Brooklyn,Bushwick (West),NE Corner of St . Nicholas Avenue & Hart Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3640,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
37,Staten Island,West New Brighton-Silver Lake-Grymes Hill,Olivet Heavenly Harvest,"97 Myrtle Avenue, Staten Island, NY",Olivet Heavenly Harvest,Closed During Winter,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),olivetheavenlyharvest.com,501,49,40.63034,-74.11616,120,3832,"{'type': 'Point', 'coordinates': [-74.11616, 40.63034]}",1.0,13.0,74.0,10697.0,4.0,"Not accepted: meat, bones, or dairy",,,
38,Brooklyn,Brownsville,*CLOSED FOR THE SEASON* Iso Student Farm,"514 Rockaway Avenue, Brooklyn, NY 11212",Volunteers at Isabahlia LOE Foundation,"Seasonal, April-October",Fridays and Saturdays (Start Time: 9:00 AM - End Time:  1:00 PM),https://www.isabahlialoefinc.org/,316,41,40.6674207,-73.9102833,73,3457,"{'type': 'Point', 'coordinates': [-73.9102833, 40.6674207]}",2.0,17.0,46.0,17614.0,55.0,"Not accepted: meat, bones, or dairy",,,
39,Brooklyn,Brownsville,Abib Newborn Learning Garden,"495 Osborn St, Brooklyn, NY 11212",Volunteers at Abib Newborn Learning Garden,Year Round,"Monday, Wednesday, Fridays (Start Time: 10:00 AM - End Time:  6:00 PM)",https://cityparksfoundation.org/learning-gardens/,316,41,40.6595266,-73.90591,73,3458,"{'type': 'Point', 'coordinates': [-73.90591, 40.6595266]}",2.0,25.0,46.0,17614.0,55.0,"Not accepted: meat, bones, or dairy",,,
40,Bronx,Throgs Neck-Schuylerville,NE Corner of Lafayette Avenue & Cross Bronx Expressway,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,210,13,,,45,3786,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
41,Queens,Astoria (Central),SE Corner of 31st Ave & 35th St,SE Corner of 31s Ave & 35th St,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76271486,-73.92014522,114,3309,"{'type': 'Point', 'coordinates': [-73.92014522, 40.76271486]}",3.0,4.0,72.0,16863.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
42,Queens,Astoria (Central),33 St between Broadway and 31 Ave,33 St between Broadway and 31 Ave,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76251,-73.92285,114,3292,"{'type': 'Point', 'coordinates': [-73.92285, 40.76251]}",3.0,4.0,72.0,16863.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
43,Bronx,Mount Eden-Claremont (West),SE Corner of East 171st Street & Walton Avenue,SE East 171st Street & Walton Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,16,40.84052114,-73.91521599,44,3700,"{'type': 'Point', 'coordinates': [-73.91521599, 40.84052114]}",5.0,29.0,27.0,10930.0,50.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
44,Queens,Old Astoria-Hallets Point,West Side of 21st St between 30th Dr & 30th Rd,"On 21st St, W/S b/t 30th Dr & 30th Rd",Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76862897,-73.92905384,114,3342,"{'type': 'Point', 'coordinates': [-73.92905384, 40.76862897]}",3.0,4.0,72.0,16859.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
45,Queens,Queensbridge-Ravenswood-Dutch Kills,SE Corner of 40 Avenue & 10 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,26,,,114,3370,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
46,Brooklyn,Crown Heights (North),NE Corner of Kingston Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3502,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
47,Bronx,Concourse-Concourse Village,NW Corner of Morris Avenue & East 163rd Street,NW Morris Avenue & East 163rd Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,16,40.82739892,-73.91744524,44,3689,"{'type': 'Point', 'coordinates': [-73.91744524, 40.82739892]}",5.0,42.0,27.0,10934.0,50.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
48,Brooklyn,Bushwick (East),Irving Avenue & Weirfield Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3668,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
49,Brooklyn,Bushwick (East),NW Corner of Bushwick Avenue & Cornelia Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3657,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
50,Brooklyn,Madison,Avenue U and East 16th Street,"Avenue U and East 16th Street, southeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,40.5988666,-73.9553874,61,3800,"{'type': 'Point', 'coordinates': [-73.9553874, 40.5988666]}",2.0,15.0,36.0,13512.0,32.0,"Not accepted: meat, bones, or dairy",,,
51,Manhattan,East Harlem (North),Uptown Grand Central Fresh Food Box,"Park Ave &, E 125th St",Uptown Grand Central,Year Round,Wednesdays (Start Time: 2:00 PM - End Time:  7:00 PM),,111,9,40.8049824,-73.9390315,25,3425,"{'type': 'Point', 'coordinates': [-73.9390315, 40.8049824]}",4.0,35.0,16.0,13093.0,7.0,,,,
52,Queens,South Jamaica,*CLOSED FOR THE SEASON* Paradise Garden,"107-31 Inwood St, Queens, NY 11435",Paradise Garden,July-December,Fridays (Start Time: 11:00 AM - End Time:  1:00 PM),,412,28,40.69056,-73.80395,103,3818,"{'type': 'Point', 'coordinates': [-73.80395, 40.69056]}",3.0,46.0,61.0,24670.0,41.0,"Not accepted: meat, bones, or dairy",,,
53,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Gowanus Salt Lot,"2 2nd Ave, Brooklyn, NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),https://www.bigreuse.org/service/compost/,306,39,40.67541,-73.99128,78,3554,"{'type': 'Point', 'coordinates': [-73.99128, 40.67541]}",2.0,27.0,50.0,17617.0,14.0,"Not accepted: meat, bones, or dairy",,,
54,Manhattan,Chelsea-Hudson Yards,8th Ave & 24th St,"W 24th St. and 8th Ave., New York, NY, 1001 (Collection bins are on the northwest corner of W 24th St and 8th Ave., near subway exit)",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,104,3,40.745331,-73.998272,10,3541,"{'type': 'Point', 'coordinates': [-73.998272, 40.745331]}",4.0,10.0,6.0,12074.0,12.0,"Not accepted: meat, bones, or dairy",,,
55,Brooklyn,Bedford-Stuyvesant (West),NE Corner of Bedford Avenue & Herkimer Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3522,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
56,Manhattan,Financial District-Battery Park City,Battery Park City Authority Rockefeller Park,Lower level downstairs at corner of Chambers St and River Terrace,Battery Park City Authority,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,1,40.7183877,-74.0148782,1,3277,"{'type': 'Point', 'coordinates': [-74.0148782, 40.7183877]}",4.0,32.0,1.0,10368.0,56.0,"Not accepted: meat, bones, or dairy",,,
57,Manhattan,Harlem (North),SE Corner of W 151 Street & Macombs Place,SE W 151 Street & Macombs Place,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,40.82625676,-73.93855724,32,3406,"{'type': 'Point', 'coordinates': [-73.93855724, 40.82625676]}",4.0,36.0,20.0,13097.0,18.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
58,Staten Island,Arden Heights-Rossville,Arden Heights,Arden Avenue and Forest Green,Snug Harbor Youth,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  2:00 PM),https://snug-harbor.org/,503,51,40.556014,-74.194626,123,3805,"{'type': 'Point', 'coordinates': [-74.194626, 40.556014]}",1.0,9.0,77.0,10699.0,15.0,"Not accepted: meat, bones, or dairy",17007.0,,
59,Queens,Jamaica,King Manor Museum,"150-03 Jamaica Ave, Jamaica, NY 11432",King Manor Museum,Year Round,Fridays and Saturdays (Start Time: Friday 10 AM; Saturday 9:30 - End Time:  Friday 4:00; Saturdays 2:30pm),https://www.kingmanor.org/,412,27,40.70216,-73.80445,103,3817,"{'type': 'Point', 'coordinates': [-73.80445, 40.70216]}",3.0,24.0,61.0,24340.0,41.0,"Not accepted: meat, bones, or dairy",,,
60,Manhattan,Washington Heights (South),NE Corner of W 174 Street & Fort Washington Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,33,3585,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
61,Manhattan,East Harlem (South),NW Corner of E 106 Street & Park Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,,,23,3453,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
62,Bronx,Morris Park,Albert Einstein College of Medicine (AECOM) Garden Club,Near 1975 Eastchester Road,Volunteers at Einstein Community Garden,Year Round,Wednesdays (Start Time: 4:00 PM - End Time:  5:00 PM),,211,13,40.8532261,-73.8434618,49,3790,"{'type': 'Point', 'coordinates': [-73.8434618, 40.8532261]}",5.0,12.0,32.0,11270.0,59.0,"Not accepted: meat, bones, or dairy",296.0,2042050002.0,2102976.0
63,Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),snug-harbor.org,501,49,40.641967,-74.077928,120,3828,"{'type': 'Point', 'coordinates': [-74.077928, 40.641967]}",1.0,13.0,74.0,10369.0,4.0,"Not accepted: meat, bones, or dairy",3.0,,
64,Manhattan,Financial District-Battery Park City,SmartComposting: Wall & Pearl Streets,Wall and Pearl Streets (Southwest corner),Alliance for Downtown New York,Year Round,24/7,https://downtownny.com/compost/,101,1,40.70559,-74.00812,1,3272,"{'type': 'Point', 'coordinates': [-74.00812, 40.70559]}",4.0,32.0,1.0,11726.0,56.0,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",,,
65,Brooklyn,Bushwick (East),NE Corner of Bushwick Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3658,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
66,Brooklyn,Bedford-Stuyvesant (East),SE Corner of Lewis Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,81,3470,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
67,Queens,Old Astoria-Hallets Point,21 St between 30 Dr and 30 Rd,21 St between 30 Dr and 30 Rd,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76856,-73.92899,114,3338,"{'type': 'Point', 'coordinates': [-73.92899, 40.76856]}",3.0,4.0,72.0,16859.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
68,Brooklyn,East New York (North),East New York Farms: St. John Community Garden,"474 New Jersey Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),ucceny.org/enyf-old/compost/,305,42,40.6676529,-73.8940832,75,3732,"{'type': 'Point', 'coordinates': [-73.8940832, 40.6676529]}",2.0,25.0,47.0,17214.0,45.0,"Not accepted: meat, bones, or dairy",,,
69,Bronx,Soundview-Clason Point,NE Corner of White Plains Road & Randall Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,209,18,,,43,3717,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
70,Brooklyn,Crown Heights (North),New York Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3498,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
71,Brooklyn,Crown Heights (North),NW Corner of Albany Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,36,,,77,3485,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
